Entity,Code,Year,Number of people without access to electricity
Afghanistan,AFG,2006,19005378.7
Albania,ALB,2000,0
Albania,ALB,2001,0
Albania,ALB,2002,0
Albania,ALB,2003,0
Albania,ALB,2004,0
Albania,ALB,2007,0
Albania,ALB,2008,0
Albania,ALB,2009,0
Albania,ALB,2010,0
Albania,ALB,2011,0
Albania,ALB,2012,2900.401
Albania,ALB,2013,0
Albania,ALB,2014,1444.552
Albania,ALB,2015,576.1406
Albania,ALB,2016,3163.7111
Albania,ALB,2017,3160.8027
Albania,ALB,2018,0
Albania,ALB,2019,0
Algeria,DZA,2008,243114.228
Algeria,DZA,2009,417797.168
Algeria,DZA,2010,423872.52
Algeria,DZA,2011,422342.719
Algeria,DZA,2012,461818.084
Algeria,DZA,2013,390075.647
Algeria,DZA,2014,360419.477
Algeria,DZA,2015,323032.643
Algeria,DZA,2016,242144.491
Algeria,DZA,2017,159292.365
Algeria,DZA,2018,151210.665
Algeria,DZA,2019,215265.27
Andorra,AND,1990,0
Andorra,AND,1991,0
Andorra,AND,1992,0
Andorra,AND,1993,0
Andorra,AND,1994,0
Andorra,AND,1995,0
Andorra,AND,1996,0
Andorra,AND,1997,0
Andorra,AND,1998,0
Andorra,AND,1999,0
Andorra,AND,2000,0
Andorra,AND,2001,0
Andorra,AND,2002,0
Andorra,AND,2003,0
Andorra,AND,2004,0
Andorra,AND,2006,0
Andorra,AND,2012,0
Antigua and Barbuda,ATG,2017,0
Argentina,ARG,2017,0
Armenia,ARM,2018,2951.741
Aruba,ABW,2014,0
Aruba,ABW,2015,0
Aruba,ABW,2016,0
Aruba,ABW,2017,0
Aruba,ABW,2018,0
Aruba,ABW,2019,0
Australia,AUS,1990,0
Australia,AUS,1991,0
Australia,AUS,1992,0
Australia,AUS,1993,0
Australia,AUS,1994,0
Australia,AUS,1995,0
Australia,AUS,1996,0
Australia,AUS,1997,0
Australia,AUS,1998,0
Australia,AUS,1999,0
Australia,AUS,2000,0
Australia,AUS,2001,0
Australia,AUS,2002,0
Australia,AUS,2003,0
Australia,AUS,2004,0
Australia,AUS,2006,0
Australia,AUS,2007,0
Australia,AUS,2013,0
Austria,AUT,2003,0
Azerbaijan,AZE,2003,84164.6994
Bahamas,BHS,2004,0
Bahrain,BHR,2006,0
Bangladesh,BGD,1998,89028391.1
Barbados,BRB,1999,0
Belarus,BLR,2000,0
Belgium,BEL,1999,0
Belize,BLZ,2001,50497.4781
Bermuda,BMU,2010,0
Bolivia,BOL,1992,2875351.95
Bolivia,BOL,2017,917813.946
Botswana,BWA,1999,1204489.52
Botswana,BWA,2019,686890.936
Brazil,BRA,2017,415667.65
British Virgin Islands,VGB,2007,548.479031
Burundi,BDI,2019,10254742
Cameroon,CMR,1998,8731196.8
Cape Verde,CPV,2002,183383.37
Central African Republic,CAF,1998,3326191.75
Chad,TCD,2004,9394044.37
Channel Islands,OWID_CIS,2002,0
Channel Islands,OWID_CIS,2018,0
Channel Islands,OWID_CIS,2019,0
Chile,CHL,1990,1027796.91
Chile,CHL,1991,712360.881
Chile,CHL,1992,746350.279
Chile,CHL,1993,668868.921
Chile,CHL,1994,645129.033
Chile,CHL,1995,619760.029
Chile,CHL,1996,639318.345
Chile,CHL,1997,563820.793
Chile,CHL,1998,413217.164
Chile,CHL,1999,501747.21
Chile,CHL,2000,316253.855
Chile,CHL,2001,445141.192
Chile,CHL,2002,417670.251
Chile,CHL,2004,365247.467
Chile,CHL,2006,103342.821
Chile,CHL,2007,294151.618
Chile,CHL,2008,269723.235
Chile,CHL,2009,68614.9823
Chile,CHL,2010,61034.6854
Chile,CHL,2011,70969.1053
Chile,CHL,2012,0
Chile,CHL,2013,70286.044
Chile,CHL,2014,0
Chile,CHL,2015,51240.6968
Chile,CHL,2016,0
Chile,CHL,2017,55411.305
Chile,CHL,2018,0
Sudan,SDN,2005,20603201.2
Comoros,COM,2006,291383.638
Comoros,COM,2007,283939.106
Comoros,COM,2008,275956.616
Comoros,COM,2009,267371.055
Comoros,COM,2010,205651.401
Comoros,COM,2011,214733.255
Comoros,COM,2012,222226.555
Comoros,COM,2013,225491.938
Comoros,COM,2014,212834.354
Comoros,COM,2015,199242.393
Comoros,COM,2016,184715.964
Comoros,COM,2017,169275.608
Comoros,COM,2018,152942.406
Comoros,COM,2019,135732.085
Congo,COG,2006,2437411.42
Congo,COG,2007,2486118.51
Congo,COG,2008,2534999.21
Congo,COG,2009,2607456.6
Congo,COG,2010,2565887.29
Congo,COG,2011,2601709.11
Congo,COG,2012,2633955.05
Congo,COG,2013,2661672.29
Congo,COG,2014,2687949.72
Congo,COG,2015,2710315.61
Congo,COG,2016,2730675.1
Congo,COG,2017,2753549.64
Congo,COG,2018,2767688.05
Congo,COG,2019,2780121.3
Cote d'Ivoire,CIV,1992,7652960.94
Croatia,HRV,2002,0
Cuba,CUB,1992,649264.988
Estonia,EST,2015,0
Eswatini,SWZ,2011,524707.985
Eswatini,SWZ,2012,494193.289
Eswatini,SWZ,2013,462309.357
Eswatini,SWZ,2014,383257.7
Eswatini,SWZ,2015,395997.993
Eswatini,SWZ,2016,407387.606
Eswatini,SWZ,2017,298074.12
Eswatini,SWZ,2018,294187.747
Eswatini,SWZ,2019,262122.902
Ethiopia,ETH,2000,57814258.3
Ethiopia,ETH,2001,50794007.1
Ethiopia,ETH,2002,51638972.5
Ethiopia,ETH,2004,53338431.8
Guinea,GIN,2005,7269448.83
Ethiopia,ETH,2006,55033039.8
Ethiopia,ETH,2008,56711780.9
Ethiopia,ETH,2009,57555046.7
Ethiopia,ETH,2010,58403129.7
Ethiopia,ETH,2011,69407744.6
Ethiopia,ETH,2012,60084614.6
Ethiopia,ETH,2013,60893111.5
Ethiopia,ETH,2014,71412624.2
Ethiopia,ETH,2015,71593171.6
Ethiopia,ETH,2016,59157576.2
Ethiopia,ETH,2017,59264758.8
Ethiopia,ETH,2018,60015097.5
Ethiopia,ETH,2019,57976507.9
Burundi,BDI,2005,7128642.68
Morocco,MAR,2005,6549409.9
Peru,PER,2005,6360824.04
Haiti,HTI,2005,6006639.16
Faeroe Islands,FRO,1990,0
Faeroe Islands,FRO,1991,0
Faeroe Islands,FRO,1992,0
Faeroe Islands,FRO,1993,0
Faeroe Islands,FRO,1994,0
Faeroe Islands,FRO,1995,0
Faeroe Islands,FRO,1996,0
Faeroe Islands,FRO,1997,0
Faeroe Islands,FRO,1998,0
Faeroe Islands,FRO,1999,0
Faeroe Islands,FRO,2000,0
Faeroe Islands,FRO,2001,0
Faeroe Islands,FRO,2002,0
Faeroe Islands,FRO,2003,0
Faeroe Islands,FRO,2004,0
Senegal,SEN,2005,5866675.07
Faeroe Islands,FRO,2006,0
